Pclass,Age,Sex,Embarked,Survived
3rd,22.0,male,S,0
1st,38.0,female,C,1
3rd,26.0,female,S,1
1st,35.0,female,S,1
3rd,35.0,male,S,0
1st,54.0,male,S,0
3rd,2.0,male,S,0
3rd,27.0,female,S,1
2nd,14.0,female,C,1
3rd,4.0,female,S,1
1st,58.0,female,S,1
3rd,20.0,male,S,0
3rd,39.0,male,S,0
3rd,14.0,female,S,0
2nd,55.0,female,S,1
3rd,2.0,male,Q,0
3rd,31.0,female,S,0
2nd,35.0,male,S,0
2nd,34.0,male,S,1
3rd,15.0,female,Q,1
1st,28.0,male,S,1
3rd,8.0,female,S,0
3rd,38.0,female,S,1
1st,19.0,male,S,0
1st,40.0,male,C,0
2nd,66.0,male,S,0
1st,28.0,male,C,0
1st,42.0,male,S,0
3rd,21.0,male,S,0
3rd,18.0,female,S,0
3rd,14.0,female,C,1
3rd,40.0,female,S,0
2nd,27.0,female,S,0
2nd,3.0,female,C,1
3rd,19.0,female,Q,1
3rd,18.0,female,S,0
3rd,7.0,male,S,0
3rd,21.0,male,S,0
1st,49.0,female,C,1
2nd,29.0,female,S,1
1st,65.0,male,C,0
2nd,21.0,female,S,1
3rd,28.5,male,C,0
2nd,5.0,female,S,1
3rd,11.0,male,S,0
3rd,22.0,male,C,0
1st,45.0,male,S,0
3rd,4.0,male,S,0
2nd,29.0,female,S,1
3rd,19.0,male,S,0
3rd,17.0,female,S,1
3rd,26.0,male,S,0
2nd,32.0,male,S,0
3rd,16.0,female,S,0
2nd,21.0,male,S,0
3rd,26.0,male,C,0
3rd,32.0,male,S,1
3rd,25.0,male,S,0
2nd,0.83,male,S,1
3rd,30.0,female,S,1
3rd,22.0,male,S,0
3rd,29.0,male,S,1
1st,28.0,male,S,0
2nd,17.0,female,S,1
3rd,33.0,female,S,1
3rd,16.0,male,S,0
1st,23.0,female,S,1
3rd,24.0,male,S,0
3rd,29.0,male,S,0
3rd,20.0,male,S,0
1st,46.0,male,S,0
3rd,26.0,male,S,0
3rd,59.0,male,S,0
1st,71.0,male,C,0
1st,23.0,male,C,1
2nd,34.0,female,S,1
2nd,34.0,male,S,0
3rd,28.0,female,S,0
1st,21.0,male,S,0
3rd,33.0,male,S,0
3rd,37.0,male,S,0
3rd,28.0,male,S,0
3rd,21.0,female,S,1
3rd,38.0,male,S,0
1st,47.0,male,S,0
3rd,14.5,female,C,0
3rd,22.0,male,S,0
3rd,20.0,female,S,0
3rd,17.0,female,C,0
3rd,21.0,male,S,0
3rd,70.5,male,Q,0
2nd,29.0,male,S,0
1st,24.0,male,C,0
3rd,2.0,female,S,0
2nd,21.0,male,S,0
2nd,32.5,male,C,0
2nd,32.5,female,S,1
1st,54.0,male,S,0
3rd,12.0,male,C,1
3rd,24.0,male,S,1
3rd,45.0,male,S,0
3rd,33.0,male,C,0
3rd,20.0,male,S,0
3rd,47.0,female,S,0
2nd,29.0,female,S,1
2nd,25.0,male,S,0
2nd,23.0,male,C,0
1st,19.0,female,S,1
1st,37.0,male,S,0
3rd,16.0,male,S,0
1st,24.0,male,C,0
3rd,22.0,female,S,1
3rd,24.0,female,S,1
3rd,19.0,male,Q,0
2nd,18.0,male,S,0
2nd,19.0,male,S,0
3rd,27.0,male,S,1
3rd,9.0,female,S,0
2nd,36.5,male,S,0
2nd,42.0,male,S,0
2nd,51.0,male,S,0
1st,22.0,female,S,1
3rd,55.5,male,S,0
3rd,40.5,male,S,0
1st,51.0,male,C,0
3rd,16.0,female,Q,1
3rd,30.0,male,S,0
3rd,44.0,male,S,0
2nd,40.0,female,S,1
3rd,26.0,male,S,0
3rd,17.0,male,S,0
3rd,1.0,male,S,0
3rd,9.0,male,S,1
3rd,45.0,female,S,0
3rd,28.0,male,S,0
1st,61.0,male,S,0
3rd,4.0,male,Q,0
3rd,1.0,female,S,1
3rd,21.0,male,S,0
1st,56.0,male,C,0
3rd,18.0,male,S,0
1st,50.0,female,C,0
2nd,30.0,male,S,0
3rd,36.0,male,S,0
3rd,9.0,male,S,0
2nd,1.0,male,S,1
3rd,4.0,female,S,1
1st,45.0,male,S,1
3rd,40.0,male,Q,0
3rd,36.0,male,S,0
2nd,32.0,female,S,1
2nd,19.0,male,S,0
3rd,19.0,female,S,1
2nd,3.0,male,S,1
1st,44.0,female,C,1
1st,58.0,female,C,1
3rd,42.0,male,S,0
2nd,24.0,female,S,0
3rd,28.0,male,S,0
3rd,34.0,male,S,0
3rd,45.5,male,C,0
3rd,18.0,male,S,1
3rd,2.0,female,S,0
3rd,32.0,male,S,0
3rd,26.0,male,C,1
3rd,16.0,female,Q,1
1st,40.0,male,C,1
3rd,24.0,male,S,0
2nd,35.0,female,S,1
3rd,22.0,male,S,0
2nd,30.0,male,S,0
1st,31.0,female,C,1
3rd,27.0,female,S,1
2nd,42.0,male,S,0
1st,32.0,female,C,1
2nd,30.0,male,S,0
3rd,16.0,male,S,1
2nd,27.0,male,S,0
3rd,51.0,male,S,0
1st,38.0,male,S,1
3rd,22.0,male,S,0
2nd,19.0,male,S,1
3rd,20.5,male,S,0
2nd,18.0,male,S,0
1st,35.0,female,S,1
3rd,29.0,male,S,0
2nd,59.0,male,S,0
3rd,5.0,female,S,1
2nd,24.0,male,S,0
2nd,44.0,male,S,0
2nd,8.0,female,S,1
2nd,19.0,male,S,0
2nd,33.0,male,S,0
2nd,29.0,male,S,0
3rd,22.0,male,S,0
3rd,30.0,male,C,0
1st,44.0,male,Q,0
3rd,25.0,female,S,0
2nd,24.0,female,S,1
1st,37.0,male,S,1
2nd,54.0,male,S,0
3rd,29.0,female,S,0
1st,62.0,male,S,0
3rd,30.0,male,S,0
3rd,41.0,female,S,0
3rd,29.0,female,C,1
1st,30.0,female,S,1
1st,35.0,female,C,1
2nd,50.0,female,S,1
3rd,3.0,male,S,1
1st,52.0,male,S,0
1st,40.0,male,S,0
2nd,36.0,male,S,0
3rd,16.0,male,S,0
3rd,25.0,male,S,1
1st,58.0,female,S,1
1st,35.0,female,S,1
3rd,25.0,male,S,1
2nd,41.0,female,S,1
1st,37.0,male,C,0
1st,63.0,female,S,1
3rd,45.0,female,S,0
3rd,7.0,male,Q,0
3rd,35.0,female,S,1
3rd,65.0,male,Q,0
3rd,28.0,male,S,0
3rd,16.0,male,S,0
3rd,19.0,male,S,1
3rd,33.0,male,C,0
3rd,30.0,male,S,1
3rd,22.0,male,S,0
2nd,42.0,male,S,1
3rd,22.0,female,Q,1
1st,26.0,female,S,1
1st,19.0,female,C,1
2nd,36.0,male,C,0
3rd,24.0,female,S,0
3rd,24.0,male,S,0
3rd,23.5,male,C,0
1st,2.0,female,S,0
1st,50.0,female,C,1
3rd,19.0,male,S,0
1st,0.92,male,S,1
1st,17.0,female,C,1
2nd,30.0,male,C,0
1st,30.0,female,C,1
1st,24.0,female,C,1
1st,18.0,female,C,1
2nd,26.0,female,S,0
3rd,28.0,male,S,0
2nd,43.0,male,S,0
3rd,26.0,female,S,1
2nd,24.0,female,S,1
2nd,54.0,male,S,0
1st,31.0,female,S,1
1st,40.0,female,C,1
3rd,22.0,male,S,0
3rd,27.0,male,S,0
2nd,30.0,female,Q,1
2nd,22.0,female,S,1
1st,36.0,female,C,1
3rd,61.0,male,S,0
2nd,36.0,female,S,1
3rd,31.0,female,S,1
1st,16.0,female,C,1
1st,45.5,male,S,0
1st,38.0,male,S,0
3rd,16.0,male,S,0
1st,29.0,male,S,0
1st,41.0,female,C,1
3rd,45.0,male,S,1
1st,45.0,male,S,0
2nd,2.0,male,S,1
1st,24.0,female,S,1
2nd,28.0,male,S,0
2nd,25.0,male,S,0
2nd,36.0,male,S,0
2nd,24.0,female,S,1
2nd,40.0,female,S,1
3rd,3.0,male,S,1
3rd,42.0,male,S,0
3rd,23.0,male,S,0
3rd,15.0,male,C,0
3rd,25.0,male,S,0
3rd,28.0,male,S,0
1st,22.0,female,S,1
2nd,38.0,female,S,0
3rd,40.0,male,S,0
2nd,29.0,male,C,0
3rd,45.0,female,C,0
3rd,35.0,male,S,0
3rd,30.0,male,S,0
1st,60.0,female,C,1
1st,24.0,female,C,1
1st,25.0,male,C,1
3rd,18.0,male,S,0
3rd,19.0,male,S,0
1st,22.0,male,C,0
3rd,3.0,female,S,0
3rd,22.0,female,S,1
1st,27.0,male,C,0
3rd,20.0,male,C,0
3rd,19.0,male,S,0
1st,42.0,female,C,1
3rd,1.0,female,C,1
3rd,32.0,male,S,0
1st,35.0,female,S,1
2nd,18.0,male,S,0
3rd,1.0,male,S,0
2nd,36.0,female,S,1
2nd,17.0,female,C,1
1st,36.0,male,S,1
3rd,21.0,male,S,1
3rd,28.0,male,S,0
1st,23.0,female,C,1
3rd,24.0,female,S,1
3rd,22.0,male,S,0
3rd,31.0,female,S,0
2nd,46.0,male,S,0
2nd,23.0,male,S,0
2nd,28.0,female,S,1
3rd,39.0,male,S,1
3rd,26.0,male,S,0
3rd,21.0,female,S,0
3rd,28.0,male,S,0
3rd,20.0,female,S,0
2nd,34.0,male,S,0
3rd,51.0,male,S,0
2nd,3.0,male,S,1
3rd,21.0,male,S,0
1st,33.0,female,Q,1
3rd,44.0,male,S,1
2nd,34.0,female,S,1
2nd,18.0,female,S,1
2nd,30.0,male,S,0
3rd,10.0,female,S,0
3rd,21.0,male,Q,0
3rd,29.0,male,S,0
3rd,28.0,female,S,0
3rd,18.0,male,S,0
2nd,28.0,female,S,1
2nd,19.0,female,S,1
3rd,32.0,male,S,1
1st,28.0,male,S,1
2nd,42.0,female,S,1
3rd,17.0,male,S,0
1st,50.0,male,S,0
1st,14.0,female,S,1
3rd,21.0,female,S,0
2nd,24.0,female,S,1
1st,64.0,male,S,0
2nd,31.0,male,S,0
2nd,45.0,female,S,1
3rd,20.0,male,S,0
3rd,25.0,male,S,0
2nd,28.0,female,S,1
1st,4.0,male,S,1
2nd,13.0,female,S,1
1st,34.0,male,S,1
3rd,5.0,female,C,1
1st,52.0,male,S,1
2nd,36.0,male,S,0
1st,30.0,male,C,0
1st,49.0,male,C,1
3rd,29.0,male,C,1
1st,65.0,male,S,0
2nd,50.0,female,S,1
1st,48.0,male,S,1
3rd,34.0,male,S,0
1st,47.0,male,S,0
2nd,48.0,male,S,0
3rd,38.0,male,S,0
1st,56.0,male,S,0
3rd,0.75,female,C,1
3rd,38.0,male,S,0
2nd,33.0,female,S,1
2nd,23.0,female,C,1
3rd,22.0,female,S,0
2nd,34.0,male,S,0
3rd,29.0,male,S,0
3rd,22.0,male,S,0
3rd,2.0,female,S,1
3rd,9.0,male,S,0
3rd,50.0,male,S,0
3rd,63.0,female,S,1
1st,25.0,male,C,1
1st,35.0,female,S,1
1st,58.0,male,C,0
3rd,30.0,male,S,0
3rd,9.0,male,S,1
3rd,21.0,male,S,0
1st,55.0,male,S,0
1st,71.0,male,C,0
3rd,21.0,male,S,0
1st,54.0,female,C,1
1st,25.0,female,S,0
3rd,24.0,male,S,0
3rd,17.0,male,S,0
3rd,21.0,female,Q,0
3rd,37.0,female,S,0
1st,16.0,female,S,1
1st,18.0,male,C,0
2nd,33.0,female,S,1
3rd,28.0,male,S,0
3rd,26.0,male,S,1
3rd,29.0,male,Q,1
1st,36.0,male,S,1
1st,54.0,female,C,1
3rd,24.0,male,S,0
1st,47.0,male,S,0
2nd,34.0,female,S,1
2nd,36.0,female,S,1
3rd,32.0,male,S,0
1st,30.0,female,S,1
3rd,22.0,male,S,0
1st,44.0,female,C,1
3rd,40.5,male,Q,0
2nd,50.0,female,S,1
3rd,39.0,male,S,0
2nd,23.0,male,S,0
2nd,2.0,female,S,1
3rd,17.0,male,C,0
3rd,30.0,female,S,0
2nd,7.0,female,S,1
1st,45.0,male,S,0
1st,30.0,female,C,1
1st,22.0,female,C,1
1st,36.0,female,S,1
3rd,9.0,female,S,0
3rd,11.0,female,S,0
2nd,32.0,male,S,1
1st,50.0,male,C,0
1st,64.0,male,S,0
2nd,19.0,female,S,1
3rd,33.0,male,S,0
2nd,8.0,male,S,1
1st,17.0,male,C,1
2nd,27.0,male,S,0
3rd,22.0,male,C,1
3rd,22.0,female,S,1
1st,62.0,male,S,0
1st,48.0,female,C,1
1st,39.0,female,S,1
3rd,36.0,female,S,1
3rd,40.0,male,S,0
2nd,28.0,male,S,0
3rd,24.0,male,S,0
3rd,19.0,male,S,0
3rd,29.0,female,S,0
3rd,32.0,male,S,1
2nd,62.0,male,S,1
1st,53.0,female,S,1
1st,36.0,male,S,1
3rd,16.0,male,S,0
3rd,19.0,male,S,0
2nd,34.0,female,S,1
1st,39.0,female,S,1
3rd,32.0,male,S,1
2nd,25.0,female,S,1
1st,39.0,female,C,1
2nd,54.0,male,S,0
1st,36.0,male,C,0
1st,18.0,female,S,1
2nd,47.0,male,S,0
1st,60.0,male,C,1
3rd,22.0,male,S,0
3rd,35.0,male,S,0
1st,52.0,female,C,1
3rd,47.0,male,S,0
2nd,37.0,male,S,0
3rd,36.0,male,S,0
3rd,49.0,male,S,0
1st,49.0,male,C,1
2nd,24.0,female,S,1
3rd,44.0,male,S,0
1st,35.0,male,C,1
3rd,36.0,male,S,0
3rd,30.0,male,S,0
1st,27.0,male,S,1
2nd,22.0,female,C,1
1st,40.0,female,S,1
3rd,39.0,female,S,0
3rd,35.0,male,S,0
2nd,24.0,female,S,1
3rd,34.0,male,S,0
3rd,26.0,female,S,0
2nd,4.0,female,S,1
2nd,26.0,male,S,0
3rd,27.0,male,C,0
1st,42.0,male,S,1
3rd,20.0,male,C,1
3rd,21.0,male,S,0
3rd,21.0,male,S,0
1st,61.0,male,S,0
2nd,57.0,male,Q,0
1st,21.0,female,S,1
3rd,26.0,male,S,0
1st,80.0,male,S,1
3rd,51.0,male,S,0
1st,32.0,male,C,1
3rd,9.0,female,S,0
2nd,28.0,female,S,1
3rd,32.0,male,S,0
2nd,31.0,male,S,0
3rd,41.0,female,S,0
3rd,20.0,male,S,0
1st,24.0,female,C,1
3rd,2.0,female,S,0
3rd,0.75,female,C,1
1st,48.0,male,C,1
3rd,19.0,male,S,0
1st,56.0,male,C,1
3rd,23.0,female,S,1
2nd,18.0,female,S,1
3rd,21.0,male,S,0
3rd,18.0,female,Q,0
2nd,24.0,male,S,0
3rd,32.0,female,Q,0
2nd,23.0,male,S,0
1st,58.0,male,C,0
1st,50.0,male,S,1
3rd,40.0,male,C,0
1st,47.0,male,S,0
3rd,36.0,male,S,0
3rd,20.0,male,S,1
2nd,32.0,male,S,0
2nd,25.0,male,S,0
3rd,43.0,male,S,0
2nd,40.0,female,S,1
1st,31.0,male,S,0
2nd,70.0,male,S,0
2nd,31.0,male,S,1
3rd,18.0,male,S,0
3rd,24.5,male,S,0
3rd,18.0,female,S,1
3rd,43.0,female,S,0
1st,36.0,male,C,1
1st,27.0,male,C,1
3rd,20.0,male,S,0
3rd,14.0,male,S,0
2nd,60.0,male,S,0
2nd,25.0,male,C,0
3rd,14.0,male,S,0
3rd,19.0,male,S,0
3rd,18.0,male,S,0
1st,15.0,female,S,1
1st,31.0,male,S,1
3rd,4.0,female,C,1
3rd,25.0,male,C,0
1st,60.0,male,S,0
2nd,52.0,male,S,0
3rd,44.0,male,S,0
1st,49.0,male,C,0
3rd,42.0,male,S,0
1st,18.0,female,C,1
1st,35.0,male,S,1
3rd,18.0,female,C,0
3rd,25.0,male,Q,0
3rd,26.0,male,S,0
2nd,39.0,male,S,0
2nd,45.0,female,S,1
1st,42.0,male,S,1
1st,22.0,female,S,1
1st,24.0,female,C,1
1st,48.0,male,S,1
3rd,29.0,male,S,0
2nd,52.0,male,S,0
3rd,19.0,male,S,0
1st,38.0,female,C,1
2nd,27.0,female,S,1
3rd,33.0,male,S,0
2nd,6.0,female,S,1
3rd,17.0,male,S,0
2nd,34.0,male,S,0
2nd,50.0,male,S,0
1st,27.0,male,S,1
3rd,20.0,male,S,0
2nd,30.0,female,S,1
2nd,25.0,male,S,0
3rd,25.0,female,S,0
1st,29.0,female,S,1
3rd,11.0,male,C,0
2nd,23.0,male,S,0
2nd,23.0,male,S,0
3rd,28.5,male,S,0
3rd,48.0,female,S,0
1st,35.0,male,C,1
1st,36.0,male,S,0
1st,21.0,female,C,1
3rd,24.0,male,S,0
3rd,31.0,male,S,1
1st,70.0,male,S,0
3rd,16.0,male,S,0
2nd,30.0,female,S,1
1st,19.0,male,S,0
3rd,31.0,male,Q,0
2nd,4.0,female,S,1
3rd,6.0,male,S,1
3rd,33.0,male,S,0
3rd,23.0,male,S,0
2nd,48.0,female,S,1
2nd,0.67,male,S,1
3rd,28.0,male,S,0
2nd,18.0,male,S,0
3rd,34.0,male,S,0
1st,33.0,female,S,1
3rd,41.0,male,S,0
3rd,20.0,male,C,1
1st,36.0,female,S,1
3rd,16.0,male,S,0
1st,51.0,female,S,1
3rd,30.5,female,Q,0
3rd,32.0,male,S,0
3rd,24.0,male,S,0
3rd,48.0,male,S,0
2nd,57.0,female,S,0
2nd,54.0,female,S,1
3rd,18.0,male,S,0
3rd,5.0,female,S,1
1st,43.0,female,S,1
3rd,13.0,female,C,1
1st,17.0,female,S,1
1st,29.0,male,S,0
3rd,25.0,male,S,0
3rd,25.0,male,S,0
3rd,18.0,female,S,1
3rd,8.0,male,Q,0
3rd,1.0,male,S,1
1st,46.0,male,C,0
2nd,16.0,male,S,0
3rd,25.0,male,S,0
2nd,39.0,male,S,0
1st,49.0,female,S,1
3rd,31.0,female,S,1
3rd,30.0,male,C,0
3rd,30.0,female,S,0
2nd,34.0,male,S,0
2nd,31.0,female,S,1
1st,11.0,male,S,1
3rd,0.42,male,C,1
3rd,27.0,male,S,1
3rd,31.0,male,S,0
1st,39.0,male,S,0
3rd,18.0,female,S,0
2nd,39.0,male,S,0
1st,33.0,female,S,1
3rd,26.0,male,S,0
3rd,39.0,male,S,0
2nd,35.0,male,S,0
3rd,6.0,female,S,0
3rd,30.5,male,S,0
3rd,23.0,female,S,0
2nd,31.0,male,C,0
3rd,43.0,male,S,0
3rd,10.0,male,S,0
1st,52.0,female,S,1
3rd,27.0,male,S,1
1st,38.0,male,S,0
3rd,27.0,female,S,1
3rd,2.0,male,S,0
2nd,1.0,male,C,1
3rd,15.0,female,C,1
2nd,0.83,male,S,1
3rd,23.0,male,S,0
3rd,18.0,male,S,0
1st,39.0,female,C,1
3rd,21.0,male,S,0
3rd,32.0,male,S,1
3rd,20.0,male,S,0
2nd,16.0,male,S,0
1st,30.0,female,C,1
3rd,34.5,male,C,0
3rd,17.0,male,S,0
3rd,42.0,male,S,0
3rd,35.0,male,C,0
2nd,28.0,male,S,0
3rd,4.0,male,S,0
3rd,74.0,male,S,0
3rd,9.0,female,C,0
1st,16.0,female,S,1
2nd,44.0,female,S,0
3rd,18.0,female,S,1
1st,45.0,female,S,1
1st,51.0,male,S,1
3rd,24.0,female,C,1
3rd,41.0,male,S,0
2nd,21.0,male,S,0
1st,48.0,female,S,1
2nd,24.0,male,S,0
2nd,42.0,female,S,1
2nd,27.0,female,C,1
1st,31.0,male,S,0
3rd,4.0,male,S,1
3rd,26.0,male,S,0
1st,47.0,female,S,1
1st,33.0,male,S,0
3rd,47.0,male,S,0
2nd,28.0,female,C,1
3rd,15.0,female,C,1
3rd,20.0,male,S,0
3rd,19.0,male,S,0
1st,56.0,female,C,1
2nd,25.0,female,S,1
3rd,33.0,male,S,0
3rd,22.0,female,S,0
2nd,28.0,male,S,0
3rd,25.0,male,S,0
3rd,39.0,female,Q,0
2nd,27.0,male,S,0
1st,19.0,female,S,1
1st,26.0,male,C,1
3rd,32.0,male,Q,0
